id,league_name,season,home_team,away_team,home_goals,away_goals
1,Premier League,1993/1994,Arsenal,Coventry,0,3
2,Premier League,1993/1994,Aston Villa,QPR,4,1
3,Premier League,1993/1994,Chelsea,Blackburn,1,2
4,Premier League,1993/1994,Liverpool,Sheffield Weds,2,0
5,Premier League,1993/1994,Man City,Leeds,1,1
6,Premier League,1993/1994,Newcastle,Tottenham,0,1
7,Premier League,1993/1994,Oldham,Ipswich,0,3
8,Premier League,1993/1994,Sheffield United,Swindon,3,1
9,Premier League,1993/1994,Southampton,Everton,0,2
10,Premier League,1993/1994,West Ham,Wimbledon,0,2
11,Premier League,1993/1994,Norwich,Man United,0,2
12,Premier League,1993/1994,Tottenham,Arsenal,0,1
13,Premier League,1993/1994,Everton,Man City,1,0
14,Premier League,1993/1994,Ipswich,Southampton,1,0
15,Premier League,1993/1994,Leeds,West Ham,1,0
16,Premier League,1993/1994,Wimbledon,Chelsea,1,1
17,Premier League,1993/1994,Blackburn,Norwich,2,3
18,Premier League,1993/1994,Coventry,Newcastle,2,1
19,Premier League,1993/1994,Man United,Sheffield United,3,0
20,Premier League,1993/1994,QPR,Liverpool,1,3
21,Premier League,1993/1994,Sheffield Weds,Aston Villa,0,0
22,Premier League,1993/1994,Swindon,Oldham,0,1
23,Premier League,1993/1994,Blackburn,Oldham,1,0
24,Premier League,1993/1994,Coventry,West Ham,1,1
25,Premier League,1993/1994,Everton,Sheffield United,4,2
26,Premier League,1993/1994,Ipswich,Chelsea,1,0
27,Premier League,1993/1994,Leeds,Norwich,0,4
28,Premier League,1993/1994,Man United,Newcastle,1,1
29,Premier League,1993/1994,QPR,Southampton,2,1
30,Premier League,1993/1994,Sheffield Weds,Arsenal,0,1
31,Premier League,1993/1994,Tottenham,Man City,1,0
32,Premier League,1993/1994,Wimbledon,Aston Villa,2,2
33,Premier League,1993/1994,Swindon,Liverpool,0,5
34,Premier League,1993/1994,Aston Villa,Man United,1,2
35,Premier League,1993/1994,Arsenal,Leeds,2,1
36,Premier League,1993/1994,Man City,Blackburn,0,2
37,Premier League,1993/1994,Oldham,Coventry,3,3
38,Premier League,1993/1994,Sheffield United,Wimbledon,2,1
39,Premier League,1993/1994,Chelsea,QPR,2,0
40,Premier League,1993/1994,Liverpool,Tottenham,1,2
41,Premier League,1993/1994,Newcastle,Everton,1,0
42,Premier League,1993/1994,Norwich,Ipswich,1,0
43,Premier League,1993/1994,Southampton,Swindon,5,1
44,Premier League,1993/1994,West Ham,Sheffield Weds,2,0
45,Premier League,1993/1994,Man City,Coventry,1,1
46,Premier League,1993/1994,Arsenal,Everton,2,0
47,Premier League,1993/1994,Aston Villa,Tottenham,1,0
48,Premier League,1993/1994,Chelsea,Sheffield Weds,1,1
49,Premier League,1993/1994,Liverpool,Leeds,2,0
50,Premier League,1993/1994,Norwich,Swindon,0,0
51,Premier League,1993/1994,Oldham,Wimbledon,1,1
52,Premier League,1993/1994,Sheffield United,Ipswich,1,1
53,Premier League,1993/1994,Southampton,Man United,1,3
54,Premier League,1993/1994,West Ham,QPR,0,4
55,Premier League,1993/1994,Newcastle,Blackburn,1,1
56,Premier League,1993/1994,Leeds,Oldham,1,0
57,Premier League,1993/1994,Everton,Aston Villa,0,1
58,Premier League,1993/1994,Ipswich,Newcastle,1,1
59,Premier League,1993/1994,Wimbledon,Southampton,1,0
60,Premier League,1993/1994,Blackburn,Arsenal,1,1
61,Premier League,1993/1994,Coventry,Liverpool,1,0
62,Premier League,1993/1994,Man United,West Ham,3,0
63,Premier League,1993/1994,QPR,Sheffield United,2,1
64,Premier League,1993/1994,Sheffield Weds,Norwich,3,3
65,Premier League,1993/1994,Swindon,Man City,1,3
66,Premier League,1993/1994,Tottenham,Chelsea,1,1
67,Premier League,1993/1994,Arsenal,Ipswich,4,0
68,Premier League,1993/1994,Aston Villa,Coventry,0,0
69,Premier League,1993/1994,Chelsea,Man United,1,0
70,Premier League,1993/1994,Man City,QPR,3,0
71,Premier League,1993/1994,Norwich,Wimbledon,0,1
72,Premier League,1993/1994,Oldham,Everton,0,1
73,Premier League,1993/1994,Sheffield United,Tottenham,2,2
74,Premier League,1993/1994,Southampton,Leeds,0,2
75,Premier League,1993/1994,West Ham,Swindon,0,0
76,Premier League,1993/1994,Liverpool,Blackburn,0,1
77,Premier League,1993/1994,Newcastle,Sheffield Weds,4,2
78,Premier League,1993/1994,Blackburn,West Ham,0,2
79,Premier League,1993/1994,Coventry,Chelsea,1,1
80,Premier League,1993/1994,Everton,Liverpool,2,0
81,Premier League,1993/1994,Ipswich,Aston Villa,1,2
82,Premier League,1993/1994,Leeds,Sheffield United,2,1
83,Premier League,1993/1994,QPR,Norwich,2,2
84,Premier League,1993/1994,Sheffield Weds,Southampton,2,0
85,Premier League,1993/1994,Swindon,Newcastle,2,2
86,Premier League,1993/1994,Tottenham,Oldham,5,0
87,Premier League,1993/1994,Man United,Arsenal,1,0
88,Premier League,1993/1994,Wimbledon,Man City,1,0
89,Premier League,1993/1994,Arsenal,Southampton,1,0
90,Premier League,1993/1994,Blackburn,Sheffield Weds,1,1
91,Premier League,1993/1994,Chelsea,Liverpool,1,0
92,Premier League,1993/1994,Coventry,Leeds,0,2
93,Premier League,1993/1994,Everton,Norwich,1,5
94,Premier League,1993/1994,Man United,Swindon,4,2
95,Premier League,1993/1994,Newcastle,West Ham,2,0
96,Premier League,1993/1994,Oldham,Aston Villa,1,1
97,Premier League,1993/1994,Sheffield United,Man City,0,1
98,Premier League,1993/1994,Ipswich,Tottenham,2,2
99,Premier League,1993/1994,Wimbledon,QPR,1,1
100,Premier League,1993/1994,Aston Villa,Newcastle,0,2
101,Premier League,1993/1994,Leeds,Wimbledon,4,0
102,Premier League,1993/1994,Liverpool,Arsenal,0,0
103,Premier League,1993/1994,Norwich,Coventry,1,0
104,Premier League,1993/1994,QPR,Ipswich,3,0
105,Premier League,1993/1994,Sheffield Weds,Man United,2,3
106,Premier League,1993/1994,Southampton,Sheffield United,3,3
107,Premier League,1993/1994,Swindon,Blackburn,1,3
108,Premier League,1993/1994,West Ham,Chelsea,1,0
109,Premier League,1993/1994,Tottenham,Everton,3,2
110,Premier League,1993/1994,Man City,Oldham,1,1
111,Premier League,1993/1994,Arsenal,Man City,0,0
112,Premier League,1993/1994,Chelsea,Norwich,1,2
113,Premier League,1993/1994,Coventry,Southampton,1,1
114,Premier League,1993/1994,Liverpool,Oldham,2,1
115,Premier League,1993/1994,Man United,Tottenham,2,1
116,Premier League,1993/1994,Newcastle,QPR,1,2
117,Premier League,1993/1994,Sheffield Weds,Wimbledon,2,2
118,Premier League,1993/1994,Swindon,Everton,1,1
119,Premier League,1993/1994,West Ham,Aston Villa,0,0
120,Premier League,1993/1994,Ipswich,Leeds,0,0
121,Premier League,1993/1994,Blackburn,Sheffield United,0,0
122,Premier League,1993/1994,Aston Villa,Chelsea,1,0
123,Premier League,1993/1994,Everton,Man United,0,1
124,Premier League,1993/1994,Leeds,Blackburn,3,3
125,Premier League,1993/1994,Man City,Liverpool,1,1
126,Premier League,1993/1994,Norwich,West Ham,0,0
127,Premier League,1993/1994,Oldham,Arsenal,0,0
128,Premier League,1993/1994,QPR,Coventry,5,1
129,Premier League,1993/1994,Sheffield United,Sheffield Weds,1,1
130,Premier League,1993/1994,Tottenham,Swindon,1,1
131,Premier League,1993/1994,Southampton,Newcastle,2,1
132,Premier League,1993/1994,Wimbledon,Ipswich,0,2
133,Premier League,1993/1994,Arsenal,Norwich,0,0
134,Premier League,1993/1994,Blackburn,Tottenham,1,0
135,Premier League,1993/1994,Chelsea,Oldham,0,1
136,Premier League,1993/1994,Ipswich,Everton,0,2
137,Premier League,1993/1994,Liverpool,Southampton,4,2
138,Premier League,1993/1994,Man United,QPR,2,1
139,Premier League,1993/1994,Newcastle,Wimbledon,4,0
140,Premier League,1993/1994,Sheffield Weds,Leeds,3,3
141,Premier League,1993/1994,Swindon,Aston Villa,1,2
142,Premier League,1993/1994,Coventry,Sheffield United,0,0
143,Premier League,1993/1994,West Ham,Man City,3,1
144,Premier League,1993/1994,Arsenal,Aston Villa,1,2
145,Premier League,1993/1994,Coventry,Everton,2,1
146,Premier League,1993/1994,Ipswich,Sheffield Weds,1,4
147,Premier League,1993/1994,Leeds,Chelsea,4,1
148,Premier League,1993/1994,Liverpool,West Ham,2,0
149,Premier League,1993/1994,QPR,Blackburn,1,0
150,Premier League,1993/1994,Sheffield United,Norwich,1,2
151,Premier League,1993/1994,Southampton,Tottenham,1,0
152,Premier League,1993/1994,Wimbledon,Swindon,3,0
153,Premier League,1993/1994,Man City,Man United,2,3
154,Premier League,1993/1994,Oldham,Newcastle,1,3
155,Premier League,1993/1994,Aston Villa,Sheffield United,1,0
156,Premier League,1993/1994,Blackburn,Southampton,2,0
157,Premier League,1993/1994,Chelsea,Arsenal,0,2
158,Premier League,1993/1994,Everton,QPR,0,3
159,Premier League,1993/1994,Man United,Wimbledon,3,1
160,Premier League,1993/1994,Norwich,Man City,1,1
161,Premier League,1993/1994,Sheffield Weds,Coventry,0,0
162,Premier League,1993/1994,Swindon,Ipswich,2,2
163,Premier League,1993/1994,Tottenham,Leeds,1,1
164,Premier League,1993/1994,West Ham,Oldham,2,0
165,Premier League,1993/1994,Newcastle,Liverpool,3,0
166,Premier League,1993/1994,Chelsea,Man City,0,0
167,Premier League,1993/1994,Blackburn,Coventry,2,1
168,Premier League,1993/1994,Everton,Leeds,1,1
169,Premier League,1993/1994,Aston Villa,Southampton,0,2
170,Premier League,1993/1994,Man United,Ipswich,0,0
171,Premier League,1993/1994,Newcastle,Sheffield United,4,0
172,Premier League,1993/1994,Sheffield Weds,Oldham,3,0
173,Premier League,1993/1994,Swindon,QPR,1,0
174,Premier League,1993/1994,Tottenham,Wimbledon,1,1
175,Premier League,1993/1994,West Ham,Arsenal,0,0
176,Premier League,1993/1994,Arsenal,Newcastle,2,1
177,Premier League,1993/1994,Coventry,Man United,0,1
178,Premier League,1993/1994,Ipswich,Blackburn,1,0
179,Premier League,1993/1994,Leeds,Swindon,3,0
180,Premier League,1993/1994,Man City,Sheffield Weds,1,3
181,Premier League,1993/1994,Oldham,Norwich,2,1
182,Premier League,1993/1994,QPR,Tottenham,1,1
183,Premier League,1993/1994,Sheffield United,Chelsea,1,0
184,Premier League,1993/1994,Wimbledon,Everton,1,1
185,Premier League,1993/1994,Liverpool,Aston Villa,2,1
186,Premier League,1993/1994,Southampton,West Ham,0,2
187,Premier League,1993/1994,Coventry,Arsenal,1,0
188,Premier League,1993/1994,Everton,Southampton,1,0
189,Premier League,1993/1994,Ipswich,Oldham,0,0
190,Premier League,1993/1994,Leeds,Man City,3,2
191,Premier League,1993/1994,Man United,Norwich,2,2
192,Premier League,1993/1994,QPR,Aston Villa,2,2
193,Premier League,1993/1994,Sheffield Weds,Liverpool,3,1
194,Premier League,1993/1994,Swindon,Sheffield United,0,0
195,Premier League,1993/1994,Tottenham,Newcastle,1,2
196,Premier League,1993/1994,Wimbledon,West Ham,1,2
197,Premier League,1993/1994,Blackburn,Chelsea,2,0
198,Premier League,1993/1994,Arsenal,Tottenham,1,1
199,Premier League,1993/1994,Oldham,Swindon,2,1
200,Premier League,1993/1994,Sheffield United,Man United,0,3
